image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought_summary,listener_answer_correct,listener_answer_none
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",the target is the star with a green outline and vertical stripes inside.,,['star'],['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3","the target is a square with a black outline, filled with a grid of grey dots, located on the bottom row.",,['square'],['dot'],TRUE,FALSE,TRUE,"1, 3",,TRUE,
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",please select the star that has a black outline and is filled with gray dots.,,['star'],['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",the target is the green star with a pattern of small black dots inside it.,,['star'],['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1","the target is the gray triangle with wavy lines inside it, in the top left cell.",,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,FALSE,TRUE,"1, 1",,TRUE,
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3","the object is a grid of grey and white vertical stripes within a red circle, outlined by a dashed red square.",,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1","the object you are looking for is a triangle with a blue border. inside the triangle, there's a gray wavy pattern.",,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",the target is the square with a blue outline and vertical stripes.,,['square'],['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",the target is the circle filled with gray dots in the top right corner.,,"['circle', 'circular']",['dot'],TRUE,FALSE,TRUE,"3, 1",,TRUE,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",the target is the grey circle with wavy lines and a red border in the bottom right corner.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",please select the star that has a wavy pattern inside.,,['star'],"['wavy', 'zigzag']",TRUE,FALSE,TRUE,"1, 1",,TRUE,
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3","the object is in the bottom row, and it's the one with the grid of small grey circles.",,['square'],['dot'],FALSE,FALSE,FALSE,"1, 3",,TRUE,
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",the image i want you to select is the only triangle on the board.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,FALSE,"2, 1",,TRUE,
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",the target is the star with a red outline and a wavy pattern inside.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",the image is a grid. the target is the bottom-left box.,,['square'],['stripe'],FALSE,FALSE,FALSE,"1, 3",,TRUE,
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3","the target object is a square with gray vertical stripes, framed by a dashed red border. it is located to the right of another square with identical gray vertical stripes, which has a solid blue border.",,['square'],['stripe'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",the target is in the top-left square. it's a vertical striped square with a green outline.,,['square'],['stripe'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3","the target is the star with vertical gray and white stripes inside, that is in the bottom row, middle column.",,['star'],['stripe'],TRUE,FALSE,TRUE,"2, 3",,TRUE,
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",the image i want you to select is a black outlined triangle with a wavy grey fill.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1","the target is the black outlined triangle in the top middle, which has a checkered pattern inside.",,"['triangle', 'triangular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",the target is the red-outlined triangle with gray vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",the target object is a triangle with a green outline and a checkerboard pattern inside.,,"['triangle', 'triangular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3","the target is a blue triangle filled with dots, located in the bottom right corner.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2",the object i'm referring to is a blue-outlined triangle with a wavy grey pattern inside.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3,2",,TRUE,
exp2_057.jpeg,cond4,present,present,3,"triangle, triangular",blue,"wavy, zigzag","3,1","the target is the triangle in the top right, with a wavy pattern inside and a blue border.",,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_058.jpeg,cond3,present,absent,2,"circle, circular",green,dot,"3,3",the target is a green circle filled with gray dots.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_059.jpeg,cond3,present,absent,3,star,black,"wavy, zigzag","2,1",the image i want you to select is a white star with a black outline and a grey wavy pattern filling it.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_060.jpeg,cond1,absent,absent,2,"circle, circular",red,"wavy, zigzag","2,1",the target is the circle in the top middle row.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,FALSE,FALSE,"2, 1",,TRUE,
exp2_061.jpeg,cond3,present,absent,2,star,green,stripe,"2,1","the object is a green outline of a star with vertical stripes inside, located in the top center of the grid.",,['star'],['stripe'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_062.jpeg,cond1,absent,absent,4,square,green,dot,"2,3",the object i'm referring to is the green square filled with dots.,,['square'],['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_063.jpeg,cond2,absent,present,2,"triangle, triangular",red,stripe,"3,2",the target is the vertically striped triangle with a red outline.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_064.jpeg,cond1,absent,absent,3,star,red,dot,"1,2",the target object is a red star with a gray dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_065.jpeg,cond3,present,absent,2,square,blue,checker,"3,2",the image with the dashed red border around it is a chess board.,,['square'],['checker'],FALSE,FALSE,FALSE,"3, 2",,TRUE,
exp2_066.jpeg,cond2,absent,present,4,"circle, circular",black,dot,"1,1","the object is a grey circle with small grey dots inside, and a thick black outline.",,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_067.jpeg,cond4,present,present,3,square,blue,"wavy, zigzag","2,1","the object you are looking for is a square with a solid blue border around a gray, wavy pattern.",,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_068.jpeg,cond4,present,present,4,star,black,stripe,"2,1",the target is the black outlined star with vertical stripes inside.,,['star'],['stripe'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_069.jpeg,cond2,absent,present,2,square,green,dot,"1,1",the target is the square in the top left corner that is filled with small gray dots and has a green outline.,,['square'],['dot'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_070.jpeg,cond1,absent,absent,4,square,green,checker,"1,3",the target is the square with a green border and a checkerboard pattern.,,['square'],['checker'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_071.jpeg,cond4,present,present,3,square,black,checker,"1,2","the target is the checkerboard pattern that is in the middle row and in the first column, which is also partially hidden behind a red curtain.",,['square'],['checker'],FALSE,FALSE,TRUE,"1,2",,TRUE,
exp2_072.jpeg,cond3,present,absent,2,star,black,stripe,"3,2",the target is the star with vertical stripes inside.,,['star'],['stripe'],TRUE,FALSE,TRUE,"3, 2",,TRUE,
exp2_073.jpeg,cond4,present,present,2,star,green,stripe,"3,2",the target is the green-outlined star with vertical stripes inside.,,['star'],['stripe'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_074.jpeg,cond2,absent,present,3,square,black,"wavy, zigzag","1,3",the target is the square with gray wavy lines.,,['square'],"['wavy', 'zigzag']",TRUE,FALSE,TRUE,"1, 3",,TRUE,
exp2_075.jpeg,cond1,absent,absent,2,star,red,"wavy, zigzag","3,2",the target is a star with a red border and a wavy fill pattern.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_076.jpeg,cond1,absent,absent,2,"triangle, triangular",green,stripe,"1,3",the target is the vertically striped green triangle.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_077.jpeg,cond3,present,absent,3,"circle, circular",blue,stripe,"1,3","the target object is in the bottom row, first column. it is a blue-outlined circle filled with vertical grey and white stripes.",,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_078.jpeg,cond4,present,present,4,"triangle, triangular",red,stripe,"2,1",the object i want you to select is the striped triangle. it has a red outline.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_079.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2","the object is a green circle filled with gray dots, and it's surrounded by a dashed red border.",,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"3,2",,TRUE,
exp2_080.jpeg,cond3,present,absent,3,"triangle, triangular",blue,dot,"2,3",the target is the blue-bordered triangle filled with grey dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_081.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",the target object is a green-bordered triangle with a checkerboard pattern inside.,,"['triangle', 'triangular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_082.jpeg,cond3,present,absent,2,"triangle, triangular",green,stripe,"2,1",the target is the green triangle filled with vertical grey stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_083.jpeg,cond1,absent,absent,3,star,red,dot,"3,3",the target is a red five-pointed star with a dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_084.jpeg,cond4,present,present,4,"circle, circular",black,"wavy, zigzag","2,1",the object i want you to select is a circle with a black outline. it is filled with grey wavy lines.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2,1",,TRUE,
exp2_085.jpeg,cond3,present,absent,2,"triangle, triangular",green,"wavy, zigzag","1,2",the target is the green triangle with grey wavy lines inside it.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_086.jpeg,cond4,present,present,3,star,black,dot,"2,3","the target is the black outlined star with a gray dotted pattern inside, located in the bottom middle of the grid.",,['star'],['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_087.jpeg,cond2,absent,present,3,star,black,checker,"1,2",the target object is a star with a checkered pattern inside.,,['star'],['checker'],TRUE,FALSE,TRUE,"1, 2",,TRUE,
exp2_088.jpeg,cond1,absent,absent,4,"circle, circular",red,checker,"3,2",the target is the checkered circle with a red outline.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_089.jpeg,cond3,present,absent,4,square,black,dot,"3,3",the target is the square in the bottom right corner filled with grey dots.,,['square'],['dot'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_090.jpeg,cond3,present,absent,3,"triangle, triangular",green,dot,"3,2",the image to select is the green triangle filled with many grey dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3,2",,TRUE,
exp2_091.jpeg,cond1,absent,absent,3,square,black,"wavy, zigzag","2,1","the object is in the top row, second column. it's a grey square with a wavy pattern inside, and it has a black outline.",,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_092.jpeg,cond2,absent,present,3,"triangle, triangular",red,dot,"1,3","the object in the bottom left, the triangle with the red border.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,FALSE,"1, 3",,TRUE,
exp2_093.jpeg,cond4,present,present,3,square,red,"wavy, zigzag","3,2","the target object is in the third column, second row. it's a gray square with a red border, filled with white wavy lines.",,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_094.jpeg,cond2,absent,present,4,star,green,dot,"1,3",the target is a green star with a dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_095.jpeg,cond1,absent,absent,2,"circle, circular",blue,dot,"1,3",the target is the blue circle filled with small gray dots.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_096.jpeg,cond4,present,present,4,star,green,dot,"1,3",the target is the green star with a dotted pattern inside.,,['star'],['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_097.jpeg,cond3,present,absent,3,square,black,stripe,"3,2",the target is the vertically striped square.,,['square'],['stripe'],TRUE,FALSE,TRUE,"3, 2",,TRUE,
exp2_098.jpeg,cond1,absent,absent,2,square,blue,stripe,"1,2","the target object is a rectangle with vertical stripes and a blue border. it's located in the middle row, on the left.",,['square'],['stripe'],FALSE,TRUE,TRUE,"1, 2",,TRUE,
exp2_099.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","2,3",the target is the green circle with waves in it.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,FALSE,"2, 3",,TRUE,
exp2_100.jpeg,cond4,present,present,2,square,green,dot,"3,2","the target object is the grid of small, gray dots surrounded by a green dotted line.",,['square'],['dot'],FALSE,TRUE,TRUE,"2, 2",,FALSE,none
exp2_101.jpeg,cond4,present,present,2,"circle, circular",green,checker,"3,3",the image you're looking for is the bottom-rightmost one in the grid. it's a green-bordered circle with a checkerboard pattern inside.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_102.jpeg,cond1,absent,absent,4,square,black,checker,"3,1",the object in the top right corner is a black-bordered square filled with a checkerboard pattern of white and gray squares.,,['square'],['checker'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_103.jpeg,cond3,present,absent,2,square,red,dot,"2,1",the image in the top middle position.,,['square'],['dot'],FALSE,FALSE,FALSE,"2, 1",,TRUE,
exp2_104.jpeg,cond2,absent,present,2,"circle, circular",green,stripe,"2,3",the target is the vertically striped circle.,,"['circle', 'circular']",['stripe'],TRUE,FALSE,TRUE,"2, 3",,TRUE,
exp2_105.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"2,1",the target is a triangle with a dotted fill.,,"['triangle', 'triangular']",['dot'],TRUE,FALSE,TRUE,"2, 1",,TRUE,
exp2_106.jpeg,cond4,present,present,4,"triangle, triangular",green,dot,"2,1",the target is the green triangle filled with small gray dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_107.jpeg,cond1,absent,absent,4,"triangle, triangular",red,"wavy, zigzag","3,3",the target is a red triangle with a wavy grey pattern inside.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_108.jpeg,cond3,present,absent,4,square,red,"wavy, zigzag","1,3",the target is the square with wavy lines that is outlined in red.,,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_109.jpeg,cond3,present,absent,2,"triangle, triangular",red,dot,"3,3","the target is the dotted triangle on the right, which is outlined with a dashed red box.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_110.jpeg,cond2,absent,present,2,"triangle, triangular",green,dot,"2,3",the target is the green triangle filled with small gray dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_111.jpeg,cond1,absent,absent,4,"triangle, triangular",green,"wavy, zigzag","3,1",the target is the green-outlined triangle filled with wavy grey lines.,,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_112.jpeg,cond2,absent,present,4,"circle, circular",black,"wavy, zigzag","3,2",the target object is a black-bordered circle with a wavy gray pattern inside.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_113.jpeg,cond3,present,absent,2,"circle, circular",red,"wavy, zigzag","3,2",the target is the gray circle with squiggly lines inside it.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,FALSE,FALSE,"3,2",,TRUE,
exp2_114.jpeg,cond1,absent,absent,2,square,red,"wavy, zigzag","1,2",the target is the square in the middle left that has a red border and is filled with a grey wavy pattern.,,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_115.jpeg,cond2,absent,present,4,"triangle, triangular",green,dot,"3,3",the target object is a triangle with a green outline and filled with grey dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_116.jpeg,cond3,present,absent,2,star,black,stripe,"3,3","the object is a star in the bottom right corner of the grid, highlighted by a dashed red box.",,['star'],['stripe'],TRUE,FALSE,FALSE,"3, 3",,TRUE,
exp2_117.jpeg,cond4,present,present,2,star,black,"wavy, zigzag","3,3",the target object is the star that has a black outline and is filled with a grey zigzag pattern.,,['star'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 3",,TRUE,
exp2_118.jpeg,cond2,absent,present,3,star,black,dot,"3,1",the object i want you to select is a black outlined star filled with small gray dots.,,['star'],['dot'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_119.jpeg,cond1,absent,absent,4,"triangle, triangular",red,dot,"1,2","the object is a triangle with a red border, filled with gray dots.",,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_120.jpeg,cond4,present,present,3,square,blue,stripe,"2,1","the image you're looking for is in the top row. it has vertical grey and white stripes, and it's surrounded by a blue border.",,['square'],['stripe'],FALSE,TRUE,TRUE,"2,1",,TRUE,
