image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,listener_answer,listener_thought,listener_answer_correct,listener_answer_note
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",Pick the striped gray triangle with the red border.,none,"1, 2",none,TRUE,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",Pick the gray-and-white vertically striped square with a thick black border.,none,"3,1",none,TRUE,
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",Pick the green-outlined circle that has a gray polka-dot pattern inside.,none,"3, 2",none,TRUE,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",Pick the green-outlined triangle with vertical gray stripes inside.,none,"1, 2",none,TRUE,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",Pick the blue-outlined star with gray polka dots.,none,"1, 3",none,TRUE,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",Pick the star with the checkered (chessboard-like) fill.,none,"1,1",none,TRUE,
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",Pick the blue-outlined star with a checkered interior.,none,"1, 3",none,TRUE,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",Pick the dotted triangle with the blue outline.,none,"1,1",none,TRUE,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Pick the gray circle with wavy stripes and a red outline.,none,"1, 3",none,TRUE,
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",Pick the green-outlined circle with the wavy gray pattern inside.,none,"3, 2",none,TRUE,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",Pick the green-outlined circle with the gray checkerboard pattern.,none,"2,1",none,TRUE,
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",Pick the gray‑and‑white vertically striped triangle outlined in red.,none,"3,3",none,TRUE,
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",Pick the green-outlined star with vertical gray stripes.,none,"3,3",none,TRUE,
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3","Select the *small gray polka‑dot square* (same pattern as the larger polka‑dot square, but without a thick black border).",none,"1,3",none,TRUE,
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",Select the star with the black outline.,none,"3,2",none,TRUE,
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",the green star with the dotted interior,none,"2,1",none,TRUE,
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1",Select the grey triangle with wavy horizontal stripes.,none,"1,1",none,TRUE,
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3",Pick the round icon with vertical gray and white stripes.,none,"3,3",none,TRUE,
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",Pick the gray wavy triangle with a blue outline.,none,"3,1",none,TRUE,
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3",Pick the **blue-bordered square with vertical stripes**.,none,"1,3",none,TRUE,
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1","Pick the dotted grey circle outlined in red, not black.",none,"3,1",none,TRUE,
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3",Pick the grey wavy circle with a red outline.,none,"3,3",none,TRUE,
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",Pick the green star that has a wavy gray-and-white pattern inside it.,none,"1,1",none,TRUE,
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3",Pick the grey dot pattern that does **not** have a green circle around it.,none,"1, 3",none,TRUE,
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",Select the striped triangle.,none,"2,1",none,TRUE,
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1",Select the red-outlined star with a wavy (zigzag) fill pattern.,none,"2,1",none,TRUE,
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",Pick the gray-and-white vertical stripes inside the green square (not the dots or the round checkerboard).,none,"1,3",none,TRUE,
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3",Pick the square with vertical stripes that has a red border (not the one with the blue border).,none,"3,3",none,TRUE,
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",Pick the grey-and-white vertical striped square with the green border.,none,"1,1",none,TRUE,
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3",Pick the striped red star.,none,"2,3",none,TRUE,
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",Pick the gray wavy triangle.,none,"2, 3",none,TRUE,
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1",Choose the triangle with a checkerboard pattern inside.,none,"2,1",none,TRUE,
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",Select the red-outlined triangle with vertical stripes.,none,"1,1",none,TRUE,
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",Select the green-outlined triangle with a checkered interior.,none,"2,1",none,TRUE,
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3",Pick the blue-outlined triangle that has a dotted fill.,none,"3,3",none,TRUE,
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2",Pick the blue triangle with the wavy gray pattern inside.,none,"3,2",none,TRUE,
exp2_057.jpeg,cond4,present,present,3,"triangle, triangular",blue,"wavy, zigzag","3,1",Select the blue-outlined triangle that has grey wavy stripes inside (not the one with grey dots).,none,"3,1",none,TRUE,
exp2_058.jpeg,cond3,present,absent,2,"circle, circular",green,dot,"3,3",Pick the gray polka-dotted circle with a green outline.,none,"3, 3",none,TRUE,
exp2_059.jpeg,cond3,present,absent,3,star,black,"wavy, zigzag","2,1",Pick the gray wavy star shape.,none,"2,1",none,TRUE,
exp2_060.jpeg,cond1,absent,absent,2,"circle, circular",red,"wavy, zigzag","2,1",Pick the gray wavy circle outlined in red.,none,"2,1",none,TRUE,
exp2_061.jpeg,cond3,present,absent,2,star,green,stripe,"2,1",Pick the green outline star with gray vertical stripes.,none,"2,1",none,TRUE,
exp2_062.jpeg,cond1,absent,absent,4,square,green,dot,"2,3",Pick the green square with the dotted pattern inside.,none,"2,3",none,TRUE,
exp2_063.jpeg,cond2,absent,present,2,"triangle, triangular",red,stripe,"3,2",Pick the striped triangle.,none,"3,2",none,TRUE,
exp2_064.jpeg,cond1,absent,absent,3,star,red,dot,"1,2",Pick the red-outlined star with a dotted interior.,none,"1, 2",none,TRUE,
exp2_065.jpeg,cond3,present,absent,2,square,blue,checker,"3,2",Pick the grey-and-white checkerboard square with a blue border.,none,"3,2",none,TRUE,
exp2_066.jpeg,cond2,absent,present,4,"circle, circular",black,dot,"1,1",Pick the light gray polka‑dotted circle with a thick black outline.,none,"1,1",none,TRUE,
exp2_067.jpeg,cond4,present,present,3,square,blue,"wavy, zigzag","2,1",Pick the gray wavy pattern that does **not** have a red frame around it.,none,"2,1",none,TRUE,
exp2_068.jpeg,cond4,present,present,4,star,black,stripe,"2,1",Pick the black-outlined star with gray vertical stripes.,none,"2,1",none,TRUE,
exp2_069.jpeg,cond2,absent,present,2,square,green,dot,"1,1",Pick the white square with small gray polka dots and a green border.,none,"1,1",none,TRUE,
exp2_070.jpeg,cond1,absent,absent,4,square,green,checker,"1,3",Select the green‐framed square with a gray checkerboard pattern.,none,"1, 3",none,TRUE,
exp2_071.jpeg,cond4,present,present,3,square,black,checker,"1,2",Pick the gray-and-white checkerboard that is next to a red curtain on one side and an empty space on the other.,none,"3,3",none,FALSE,ambiguous
exp2_072.jpeg,cond3,present,absent,2,star,black,stripe,"3,2",Pick the striped star.,none,"3,2",none,TRUE,
exp2_073.jpeg,cond4,present,present,2,star,green,stripe,"3,2",Pick the green-outlined star with vertical gray stripes.,none,3 2,none,TRUE,
exp2_074.jpeg,cond2,absent,present,3,square,black,"wavy, zigzag","1,3",Pick the square filled with wavy horizontal lines.,none,"1, 3",none,TRUE,
exp2_075.jpeg,cond1,absent,absent,2,star,red,"wavy, zigzag","3,2",Select the red-outlined star with the gray wavy pattern inside.,none,"3,2",none,TRUE,
exp2_076.jpeg,cond1,absent,absent,2,"triangle, triangular",green,stripe,"1,3",Pick the green-outlined triangle with gray vertical stripes.,none,"1, 3",none,TRUE,
exp2_077.jpeg,cond3,present,absent,3,"circle, circular",blue,stripe,"1,3",Select the blue-outlined circle with vertical gray-and-white stripes.,none,"1,3",none,TRUE,
exp2_078.jpeg,cond4,present,present,4,"triangle, triangular",red,stripe,"2,1",Pick the striped triangle with the red outline (not the one with the green outline).,none,"2,1",none,TRUE,
exp2_079.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",Pick the gray polka‑dot circle with the green outline.,none,"3,2",none,TRUE,
exp2_080.jpeg,cond3,present,absent,3,"triangle, triangular",blue,dot,"2,3",Select the blue-outlined triangle with a dotted fill.,none,"2, 3",none,TRUE,
exp2_081.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",Pick the green-outlined triangle with the checkered pattern inside.,none,"2,1",none,TRUE,
exp2_082.jpeg,cond3,present,absent,2,"triangle, triangular",green,stripe,"2,1",Pick the only green striped triangle.,none,"2,1",none,TRUE,
exp2_083.jpeg,cond1,absent,absent,3,star,red,dot,"3,3",Pick the red-outlined star that has a white background filled with gray polka dots.,none,"3, 3",none,TRUE,
exp2_084.jpeg,cond4,present,present,4,"circle, circular",black,"wavy, zigzag","2,1",Pick the gray wavy circle with the black border (not the one with the green border).,none,"2,1",none,TRUE,
exp2_085.jpeg,cond3,present,absent,2,"triangle, triangular",green,"wavy, zigzag","1,2",Pick the green triangle with the gray wavy pattern inside.,none,"1, 2",none,TRUE,
exp2_086.jpeg,cond4,present,present,3,star,black,dot,"2,3",Pick the white star with gray polka dots outlined in black.,none,"2,3",none,TRUE,
exp2_087.jpeg,cond2,absent,present,3,star,black,checker,"1,2",Pick the star with the checkered pattern inside.,none,"1,2",none,TRUE,
exp2_088.jpeg,cond1,absent,absent,4,"circle, circular",red,checker,"3,2",Select the gray checkerboard circle with a red outline.,none,"3,2",none,TRUE,
exp2_089.jpeg,cond3,present,absent,4,square,black,dot,"3,3",Pick the white square that’s filled with a grid of small gray dots.,none,"3,3",none,TRUE,
exp2_090.jpeg,cond3,present,absent,3,"triangle, triangular",green,dot,"3,2",Pick the green-outlined triangle with a gray polka-dot interior.,none,"3, 2",none,TRUE,
exp2_091.jpeg,cond1,absent,absent,3,square,black,"wavy, zigzag","2,1",Select the gray wavy square with a thick black outline.,none,"2,1",none,TRUE,
exp2_092.jpeg,cond2,absent,present,3,"triangle, triangular",red,dot,"1,3",Select the **red-outlined polka-dotted triangle**.,none,"1,3",none,TRUE,
exp2_093.jpeg,cond4,present,present,3,square,red,"wavy, zigzag","3,2",Pick the gray square filled with repeating wavy lines.,none,"3,2",none,TRUE,
exp2_094.jpeg,cond2,absent,present,4,star,green,dot,"1,3",Pick the green-outlined star that has a polka-dot pattern inside.,none,"1,3",none,TRUE,
exp2_095.jpeg,cond1,absent,absent,2,"circle, circular",blue,dot,"1,3",Select the blue‑outlined circle with the dotted (polka‑dot) interior.,none,"1, 3",none,TRUE,
exp2_096.jpeg,cond4,present,present,4,star,green,dot,"1,3",Pick the green star with the dotted pattern.,none,"1, 3",none,TRUE,
exp2_097.jpeg,cond3,present,absent,3,square,black,stripe,"3,2",Pick the black‑framed rectangle with vertical gray and white stripes.,none,"3,2",none,TRUE,
exp2_098.jpeg,cond1,absent,absent,2,square,blue,stripe,"1,2",Pick the blue‐bordered rectangle with vertical gray and white stripes.,none,"1, 2",none,TRUE,
exp2_099.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","2,3",Pick the green-outlined circle filled with a gray wavy pattern.,none,"1,3",none,FALSE,none
exp2_100.jpeg,cond4,present,present,2,square,green,dot,"3,2",Pick the picture with many small grey dots in a regular grid pattern.,none,"3,2",none,TRUE,
exp2_101.jpeg,cond4,present,present,2,"circle, circular",green,checker,"3,3",Pick the green‑rimmed circle that has a gray and white checkerboard pattern inside.,none,"3, 3",none,TRUE,
exp2_102.jpeg,cond1,absent,absent,4,square,black,checker,"3,1",Pick the only square-shaped object with a checkered interior and a thick dark border.,none,"3,1",none,TRUE,
exp2_103.jpeg,cond3,present,absent,2,square,red,dot,"2,1",Pick the gray square filled with evenly spaced small gray dots.,none,"2,1",none,TRUE,
exp2_104.jpeg,cond2,absent,present,2,"circle, circular",green,stripe,"2,3",Pick the green-outlined circle that has vertical gray and white stripes.,none,"2, 3",none,TRUE,
exp2_105.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"2,1",Pick the triangle that is filled with small dots (not the one with vertical stripes).,none,"2, 1",none,TRUE,
exp2_106.jpeg,cond4,present,present,4,"triangle, triangular",green,dot,"2,1",Pick the green triangle with the dotted pattern inside.,none,"2,1",none,TRUE,
exp2_107.jpeg,cond1,absent,absent,4,"triangle, triangular",red,"wavy, zigzag","3,3",Pick the red-outlined triangle that has a wavy gray pattern inside.,none,"3,3",none,TRUE,
exp2_108.jpeg,cond3,present,absent,4,square,red,"wavy, zigzag","1,3",Pick the only square-shaped object with a grey background and white wavy lines.,none,"1,3",none,TRUE,
exp2_109.jpeg,cond3,present,absent,2,"triangle, triangular",red,dot,"3,3",Pick the dotted triangle.,none,"3,3",none,TRUE,
exp2_110.jpeg,cond2,absent,present,2,"triangle, triangular",green,dot,"2,3",Pick the **green-outlined triangle that has a dotted interior pattern** (not the black-outlined triangle and not the blue-outlined circle).,none,"2,3",none,TRUE,
exp2_111.jpeg,cond1,absent,absent,4,"triangle, triangular",green,"wavy, zigzag","3,1",Pick the gray wavy triangle with the green border.,none,"3,1",none,TRUE,
exp2_112.jpeg,cond2,absent,present,4,"circle, circular",black,"wavy, zigzag","3,2",Pick the wavy-patterned circle with the black outline.,none,"3,2",none,TRUE,
exp2_113.jpeg,cond3,present,absent,2,"circle, circular",red,"wavy, zigzag","3,2",Pick the grey circle with the wavy pattern and a thick pink outline.,none,"3,2",none,TRUE,
exp2_114.jpeg,cond1,absent,absent,2,square,red,"wavy, zigzag","1,2",Pick the gray square with the wavy (sine‑wave) pattern and a solid red border.,none,"1, 2",none,TRUE,
exp2_115.jpeg,cond2,absent,present,4,"triangle, triangular",green,dot,"3,3",Pick the green-outlined triangle with the dotted pattern inside.,none,"3,3",none,TRUE,
exp2_116.jpeg,cond3,present,absent,2,star,black,stripe,"3,3",Pick the grey star with vertical stripes and a black outline.,none,"3,3",none,TRUE,
exp2_117.jpeg,cond4,present,present,2,star,black,"wavy, zigzag","3,3",Pick the wavy-patterned gray star with a black outline.,none,3 3,none,TRUE,
exp2_118.jpeg,cond2,absent,present,3,star,black,dot,"3,1",Pick the star outline shape that is filled with small gray dots.,none,"3,1",none,TRUE,
exp2_119.jpeg,cond1,absent,absent,4,"triangle, triangular",red,dot,"1,2",Pick the only triangle: a red-outlined triangle filled with gray polka dots.,none,"1, 2",none,TRUE,
exp2_120.jpeg,cond4,present,present,3,square,blue,stripe,"2,1",Pick the gray-and-white vertical striped square.,none,"2,1",none,TRUE,
