image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer
exp2_048.jpeg,cond2,absent,present,3,square,red,stripe,"3,3",['Select the striped square in the bottom-right corner.']
exp2_049.jpeg,cond4,present,present,3,square,green,stripe,"1,1",['Select the object behind the left red curtain.']
exp2_050.jpeg,cond3,present,absent,3,star,red,stripe,"2,3",['Select the star.']
exp2_051.jpeg,cond1,absent,absent,3,"triangle, triangular",black,"wavy, zigzag","2,3",['Select the triangle with wavy patterns.']
exp2_052.jpeg,cond3,present,absent,3,"triangle, triangular",black,checker,"2,1",['Select the triangle with the checkerboard pattern.']
exp2_053.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,1",['Select the triangle with vertical stripes in the top-left corner.']
exp2_054.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",['Select the triangle with the checkerboard pattern.']
exp2_055.jpeg,cond1,absent,absent,2,"triangle, triangular",blue,dot,"3,3",['Select the triangle with dots inside the dashed red box.']
exp2_056.jpeg,cond2,absent,present,3,"triangle, triangular",blue,"wavy, zigzag","3,2",['Select the blue triangle with wavy patterns.']
exp2_057.jpeg,cond4,present,present,3,"triangle, triangular",blue,"wavy, zigzag","3,1",['Select the triangle with wavy patterns.']
exp2_058.jpeg,cond3,present,absent,2,"circle, circular",green,dot,"3,3",['Select the object behind the right curtain.']
exp2_059.jpeg,cond3,present,absent,3,star,black,"wavy, zigzag","2,1",['Select the star.']
exp2_060.jpeg,cond1,absent,absent,2,"circle, circular",red,"wavy, zigzag","2,1",['Select the circular object with wavy patterns in the top row.']
exp2_061.jpeg,cond3,present,absent,2,star,green,stripe,"2,1",['Select the green star in the top center.']
exp2_062.jpeg,cond1,absent,absent,4,square,green,dot,"2,3",['Select the square with dots in the bottom center.']
exp2_063.jpeg,cond2,absent,present,2,"triangle, triangular",red,stripe,"3,2",['Select the triangle with vertical stripes inside the dashed red box.']
exp2_064.jpeg,cond1,absent,absent,3,star,red,dot,"1,2",['Select the red star with dots inside the dashed red box.']
exp2_065.jpeg,cond3,present,absent,2,square,blue,checker,"3,2",['Select the checkered square.']
exp2_066.jpeg,cond2,absent,present,4,"circle, circular",black,dot,"1,1",['Select the circle with dots in the top-left corner.']
exp2_067.jpeg,cond4,present,present,3,square,blue,"wavy, zigzag","2,1","['Select the object in the top row, second column — it’s highlighted by the dashed red box.']"
exp2_068.jpeg,cond4,present,present,4,star,black,stripe,"2,1",['Select the star with black outline and gray stripes in the top middle.']
exp2_069.jpeg,cond2,absent,present,2,square,green,dot,"1,1",['Select the square with dots in the top-left corner.']
exp2_070.jpeg,cond1,absent,absent,4,square,green,checker,"1,3","[""I'm looking for the square with a checkerboard pattern. It's highlighted by a dashed red box, but you can't see it. The target is the square with the checkerboard pattern, not the circle or the star.""]"
exp2_071.jpeg,cond4,present,present,3,square,black,checker,"1,2",['Select the object behind the top red curtain.']
exp2_072.jpeg,cond3,present,absent,2,star,black,stripe,"3,2",['Select the star.']
exp2_073.jpeg,cond4,present,present,2,star,green,stripe,"3,2",['Select the green star.']
exp2_074.jpeg,cond2,absent,present,3,square,black,"wavy, zigzag","1,3",['Select the object with the wavy pattern.']
exp2_075.jpeg,cond1,absent,absent,2,star,red,"wavy, zigzag","3,2",['Select the star with wavy patterns inside the dashed red box.']
exp2_076.jpeg,cond1,absent,absent,2,"triangle, triangular",green,stripe,"1,3",['Select the triangle with vertical stripes.']
exp2_077.jpeg,cond3,present,absent,3,"circle, circular",blue,stripe,"1,3",['Select the object behind the bottom-right curtain.']
exp2_078.jpeg,cond4,present,present,4,"triangle, triangular",red,stripe,"2,1",['Select the triangle with stripes that has a red border.']
exp2_079.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",['Select the circle with dots inside the dashed red box.']
exp2_080.jpeg,cond3,present,absent,3,"triangle, triangular",blue,dot,"2,3",['Select the triangle with dots.']
exp2_081.jpeg,cond2,absent,present,4,"triangle, triangular",green,checker,"2,1",['Select the triangle with the checkerboard pattern.']
exp2_082.jpeg,cond3,present,absent,2,"triangle, triangular",green,stripe,"2,1",['Select the triangle with vertical stripes.']
exp2_083.jpeg,cond1,absent,absent,3,star,red,dot,"3,3",['Select the star with dots.']
exp2_084.jpeg,cond4,present,present,4,"circle, circular",black,"wavy, zigzag","2,1",['Select the circle with a black border and wavy pattern.']
exp2_085.jpeg,cond3,present,absent,2,"triangle, triangular",green,"wavy, zigzag","1,2",['Select the green triangle.']
exp2_086.jpeg,cond4,present,present,3,star,black,dot,"2,3",['Select the star with a black outline and gray dots.']
exp2_087.jpeg,cond2,absent,present,3,star,black,checker,"1,2",['Select the star with the checkered pattern.']
exp2_088.jpeg,cond1,absent,absent,4,"circle, circular",red,checker,"3,2",['Select the circle with the checkerboard pattern.']
exp2_089.jpeg,cond3,present,absent,4,square,black,dot,"3,3","['Select the object in the bottom-right corner, which is highlighted by the dashed red box. It’s a square with a grid of gray dots.']"
exp2_090.jpeg,cond3,present,absent,3,"triangle, triangular",green,dot,"3,2",['Select the triangle with dots.']
exp2_091.jpeg,cond1,absent,absent,3,square,black,"wavy, zigzag","2,1","['Select the square with the wavy pattern in the top row, as it is the target.']"
exp2_092.jpeg,cond2,absent,present,3,"triangle, triangular",red,dot,"1,3",['Select the red triangle with dots in the bottom-left corner.']
exp2_093.jpeg,cond4,present,present,3,square,red,"wavy, zigzag","3,2",['Select the object with the wavy pattern.']
exp2_094.jpeg,cond2,absent,present,4,star,green,dot,"1,3",['Select the green star with dots in the bottom-left corner.']
exp2_095.jpeg,cond1,absent,absent,2,"circle, circular",blue,dot,"1,3",['Select the circle with dots.']
exp2_096.jpeg,cond4,present,present,4,star,green,dot,"1,3",['Select the green star.']
exp2_097.jpeg,cond3,present,absent,3,square,black,stripe,"3,2",['Select the striped square in the top-right corner.']
exp2_098.jpeg,cond1,absent,absent,2,square,blue,stripe,"1,2","['Select the object in the bottom-left corner, which is a striped rectangle.']"
exp2_099.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","2,3","['Select the circular object with the wavy pattern, located in the bottom center.']"
exp2_100.jpeg,cond4,present,present,2,square,green,dot,"3,2","['Select the object in the bottom-right corner, which is highlighted by the dashed red box.']"
exp2_101.jpeg,cond4,present,present,2,"circle, circular",green,checker,"3,3",['Select the object with the checkerboard pattern.']
exp2_102.jpeg,cond1,absent,absent,4,square,black,checker,"3,1","['Select the square with the checkerboard pattern, located in the top-right corner.']"
exp2_103.jpeg,cond3,present,absent,2,square,red,dot,"2,1","['Select the square with dots, highlighted by the dashed red box.']"
exp2_104.jpeg,cond2,absent,present,2,"circle, circular",green,stripe,"2,3",['Select the circle with vertical stripes.']
exp2_105.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"2,1",['Select the triangle with dots.']
exp2_106.jpeg,cond4,present,present,4,"triangle, triangular",green,dot,"2,1","['Look at the top row. The target is the triangle with dots, highlighted by the dashed red box. The one on the right has a checkerboard pattern, so it’s not the target. Choose the middle triangle.']"
exp2_107.jpeg,cond1,absent,absent,4,"triangle, triangular",red,"wavy, zigzag","3,3",['Select the triangle with wavy patterns.']
exp2_108.jpeg,cond3,present,absent,4,square,red,"wavy, zigzag","1,3",['Select the square with the wavy pattern.']
exp2_109.jpeg,cond3,present,absent,2,"triangle, triangular",red,dot,"3,3",['Select the triangle.']
exp2_110.jpeg,cond2,absent,present,2,"triangle, triangular",green,dot,"2,3",['Select the green triangle.']
exp2_111.jpeg,cond1,absent,absent,4,"triangle, triangular",green,"wavy, zigzag","3,1",['Select the green triangle with wavy patterns inside the dashed red box.']
exp2_112.jpeg,cond2,absent,present,4,"circle, circular",black,"wavy, zigzag","3,2",['Select the circle with wavy patterns.']
exp2_113.jpeg,cond3,present,absent,2,"circle, circular",red,"wavy, zigzag","3,2",['Select the circle with wavy patterns.']
exp2_114.jpeg,cond1,absent,absent,2,square,red,"wavy, zigzag","1,2",['Select the square with the wavy pattern.']
exp2_115.jpeg,cond2,absent,present,4,"triangle, triangular",green,dot,"3,3",['Select the green triangle with dots inside.']
exp2_116.jpeg,cond3,present,absent,2,star,black,stripe,"3,3",['Select the star.']
exp2_117.jpeg,cond4,present,present,2,star,black,"wavy, zigzag","3,3",['Select the star with a black outline and wavy gray pattern.']
exp2_118.jpeg,cond2,absent,present,3,star,black,dot,"3,1","['Select the star with a black outline and gray dots inside, located in the top-right corner.']"
exp2_119.jpeg,cond1,absent,absent,4,"triangle, triangular",red,dot,"1,2",['Select the triangle with dots.']
exp2_120.jpeg,cond4,present,present,3,square,blue,stripe,"2,1",['Select the object behind the top red curtain.']
