image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture,listener_question,listener_answer,listener_answer_correct
exp2_014.jpeg,cond2,absent,present,4,red star with checkerboard fill,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red star with checkerboard fill' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_015.jpeg,cond4,present,present,2,green triangle with gray dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with gray dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_016.jpeg,cond1,absent,absent,2,the gray polka-dot square,2,yes,no,yes,Imagine someone is talking to you and tells you 'the gray polka-dot square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_017.jpeg,cond3,present,absent,4,green striped star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_018.jpeg,cond3,present,absent,3,blue-outlined grey polka-dot star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined grey polka-dot star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_019.jpeg,cond4,present,present,3,dotted triangle with red outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'dotted triangle with red outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_020.jpeg,cond4,present,present,3,dotted triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_021.jpeg,cond1,absent,absent,3,striped red triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'striped red triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_022.jpeg,cond1,absent,absent,4,gray vertical stripes square with black border,3,yes,yes,yes,Imagine someone is talking to you and tells you 'gray vertical stripes square with black border' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_023.jpeg,cond2,absent,present,4,green dotted circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green dotted circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_024.jpeg,cond2,absent,present,2,green triangle with vertical stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with vertical stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,2",yes
exp2_025.jpeg,cond3,present,absent,2,polka-dot star,2,yes,no,yes,Imagine someone is talking to you and tells you 'polka-dot star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_026.jpeg,cond4,present,present,2,Checkered star.,2,yes,no,yes,Imagine someone is talking to you and tells you 'Checkered star.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_027.jpeg,cond3,present,absent,2,blue-outlined checkered star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined checkered star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_028.jpeg,cond2,absent,present,3,blue triangle,2,yes,yes,no,Imagine someone is talking to you and tells you 'blue triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_029.jpeg,cond1,absent,absent,4,red-outlined wavy circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red-outlined wavy circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_030.jpeg,cond2,absent,present,3,green circle with wavy pattern,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green circle with wavy pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_031.jpeg,cond3,present,absent,3,green circle with gray checkerboard,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green circle with gray checkerboard' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_032.jpeg,cond3,present,absent,4,striped triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_033.jpeg,cond1,absent,absent,3,green-outlined striped star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-outlined striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_034.jpeg,cond4,present,present,4,dotted square without a thick border,2,yes,no,yes,Imagine someone is talking to you and tells you 'dotted square without a thick border' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_035.jpeg,cond4,present,present,3,the black-outlined star,2,yes,yes,no,Imagine someone is talking to you and tells you 'the black-outlined star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_036.jpeg,cond2,absent,present,4,green star with dotted fill,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green star with dotted fill' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_037.jpeg,cond3,present,absent,3,wavy triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'wavy triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_038.jpeg,cond3,present,absent,2,the grey vertical stripes in a circle,2,yes,no,yes,Imagine someone is talking to you and tells you 'the grey vertical stripes in a circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_039.jpeg,cond4,present,present,4,blue triangle with wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue triangle with wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_040.jpeg,cond1,absent,absent,4,blue-outlined striped square,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined striped square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_041.jpeg,cond4,present,present,2,Gray dotted circle with red outline.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Gray dotted circle with red outline.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_042.jpeg,cond1,absent,absent,3,red circle with wavy pattern,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red circle with wavy pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_043.jpeg,cond2,absent,present,4,green star with wavy gray stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green star with wavy gray stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_044.jpeg,cond3,present,absent,3,gray polka-dot square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray polka-dot square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_045.jpeg,cond1,absent,absent,2,striped triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_046.jpeg,cond2,absent,present,4,red star with wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red star with wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_047.jpeg,cond4,present,present,3,vertical gray-and-white stripes,1,no,no,yes,Imagine someone is talking to you and tells you 'vertical gray-and-white stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_048.jpeg,cond2,absent,present,3,the gray vertical-striped square with a red border,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the gray vertical-striped square with a red border' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_049.jpeg,cond4,present,present,3,green-bordered vertical stripes,2,no,yes,yes,Imagine someone is talking to you and tells you 'green-bordered vertical stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_050.jpeg,cond3,present,absent,3,striped red star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'striped red star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes
exp2_051.jpeg,cond1,absent,absent,3,black-outlined triangle with gray wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'black-outlined triangle with gray wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes
exp2_052.jpeg,cond3,present,absent,3,checkered triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'checkered triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_053.jpeg,cond1,absent,absent,3,red striped triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_054.jpeg,cond2,absent,present,4,green-outlined checkered triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-outlined checkered triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_055.jpeg,cond1,absent,absent,2,blue-outlined dotted triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_056.jpeg,cond2,absent,present,3,blue wavy triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue wavy triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_057.jpeg,cond4,present,present,3,blue triangle with gray wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue triangle with gray wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_058.jpeg,cond3,present,absent,2,gray polka-dot circle,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray polka-dot circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_059.jpeg,cond3,present,absent,3,wavy star,2,yes,no,yes,Imagine someone is talking to you and tells you 'wavy star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_060.jpeg,cond1,absent,absent,2,wavy circle,2,yes,no,yes,Imagine someone is talking to you and tells you 'wavy circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_061.jpeg,cond3,present,absent,2,green striped star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_062.jpeg,cond1,absent,absent,4,green square with dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green square with dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2, 3",yes
exp2_063.jpeg,cond2,absent,present,2,striped triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_064.jpeg,cond1,absent,absent,3,red-outlined star with dotted fill,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red-outlined star with dotted fill' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,2",yes
exp2_065.jpeg,cond3,present,absent,2,gray checkerboard,1,no,no,yes,Imagine someone is talking to you and tells you 'gray checkerboard' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_066.jpeg,cond2,absent,present,4,black-outlined dotted circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'black-outlined dotted circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_067.jpeg,cond4,present,present,3,Blue-framed wavy square.,3,yes,yes,yes,Imagine someone is talking to you and tells you 'Blue-framed wavy square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_068.jpeg,cond4,present,present,4,black-outlined striped star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'black-outlined striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_069.jpeg,cond2,absent,present,2,green-bordered square with gray dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-bordered square with gray dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,1",yes
exp2_070.jpeg,cond1,absent,absent,4,green-bordered checkered square,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-bordered checkered square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_071.jpeg,cond4,present,present,3,the grey-border checkerboard,2,yes,no,yes,Imagine someone is talking to you and tells you 'the grey-border checkerboard' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_072.jpeg,cond3,present,absent,2,striped star,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_073.jpeg,cond4,present,present,2,green-outlined striped star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-outlined striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_074.jpeg,cond2,absent,present,3,wavy square,2,yes,no,yes,Imagine someone is talking to you and tells you 'wavy square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_075.jpeg,cond1,absent,absent,2,red star with gray wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red star with gray wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_076.jpeg,cond1,absent,absent,2,green striped triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_077.jpeg,cond3,present,absent,3,blue-outlined circle with vertical stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined circle with vertical stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_078.jpeg,cond4,present,present,4,red striped triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_079.jpeg,cond2,absent,present,4,green dotted circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green dotted circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_080.jpeg,cond3,present,absent,3,dotted triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_081.jpeg,cond2,absent,present,4,green triangle with checkerboard pattern,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with checkerboard pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_082.jpeg,cond3,present,absent,2,green striped triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green striped triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_083.jpeg,cond1,absent,absent,3,red-outlined star with polka dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red-outlined star with polka dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_084.jpeg,cond4,present,present,4,gray wavy circle with black outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'gray wavy circle with black outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_085.jpeg,cond3,present,absent,2,green triangle with wavy gray stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with wavy gray stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_086.jpeg,cond4,present,present,3,white star with black outline and grey polka dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'white star with black outline and grey polka dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_087.jpeg,cond2,absent,present,3,checkered star,2,yes,no,yes,Imagine someone is talking to you and tells you 'checkered star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_088.jpeg,cond1,absent,absent,4,gray-checkered circle with red outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'gray-checkered circle with red outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_089.jpeg,cond3,present,absent,4,gray polka-dot square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray polka-dot square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_090.jpeg,cond3,present,absent,3,green triangle with gray polka dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with gray polka dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_091.jpeg,cond1,absent,absent,3,gray wavy square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray wavy square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_092.jpeg,cond2,absent,present,3,red-outlined dotted triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red-outlined dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_093.jpeg,cond4,present,present,3,gray wavy lines,1,no,no,yes,Imagine someone is talking to you and tells you 'gray wavy lines' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_094.jpeg,cond2,absent,present,4,green-outlined polka-dot star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-outlined polka-dot star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_095.jpeg,cond1,absent,absent,2,blue-outlined dotted circle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined dotted circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 3",yes
exp2_096.jpeg,cond4,present,present,4,green dotted star,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green dotted star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,1 3,yes
exp2_097.jpeg,cond3,present,absent,3,the black-bordered vertical gray-striped rectangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the black-bordered vertical gray-striped rectangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_098.jpeg,cond1,absent,absent,2,blue-outlined vertical gray stripes,2,no,yes,yes,Imagine someone is talking to you and tells you 'blue-outlined vertical gray stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_099.jpeg,cond2,absent,present,3,green circle with wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green circle with wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_100.jpeg,cond4,present,present,2,gray polka dots,1,no,no,yes,Imagine someone is talking to you and tells you 'gray polka dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_101.jpeg,cond4,present,present,2,green circle with gray checkerboard pattern,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green circle with gray checkerboard pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_102.jpeg,cond1,absent,absent,4,gray checkerboard square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray checkerboard square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_103.jpeg,cond3,present,absent,2,gray dotted square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray dotted square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_104.jpeg,cond2,absent,present,2,green circle with vertical gray stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green circle with vertical gray stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_105.jpeg,cond4,present,present,3,dotted triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_106.jpeg,cond4,present,present,4,green triangle with gray dots,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with gray dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
exp2_107.jpeg,cond1,absent,absent,4,red triangle with wavy stripes,3,yes,yes,yes,Imagine someone is talking to you and tells you 'red triangle with wavy stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_108.jpeg,cond3,present,absent,4,gray square with white wavy lines,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray square with white wavy lines' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,3",yes
exp2_109.jpeg,cond3,present,absent,2,dotted triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_110.jpeg,cond2,absent,present,2,green dotted triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,3",yes
exp2_111.jpeg,cond1,absent,absent,4,green-outlined wavy triangle,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green-outlined wavy triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_112.jpeg,cond2,absent,present,4,the gray wavy circle with a black outline,3,yes,yes,yes,Imagine someone is talking to you and tells you 'the gray wavy circle with a black outline' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_113.jpeg,cond3,present,absent,2,the wavy gray circle,2,yes,no,yes,Imagine someone is talking to you and tells you 'the wavy gray circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,2",yes
exp2_114.jpeg,cond1,absent,absent,2,gray wavy square,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray wavy square' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1,2",yes
exp2_115.jpeg,cond2,absent,present,4,green triangle with dotted pattern,3,yes,yes,yes,Imagine someone is talking to you and tells you 'green triangle with dotted pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_116.jpeg,cond3,present,absent,2,striped star,2,yes,no,yes,Imagine someone is talking to you and tells you 'striped star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_117.jpeg,cond4,present,present,2,gray wavy star,2,yes,no,yes,Imagine someone is talking to you and tells you 'gray wavy star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,3",yes
exp2_118.jpeg,cond2,absent,present,3,the dotted star,2,yes,no,yes,Imagine someone is talking to you and tells you 'the dotted star' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"3,1",yes
exp2_119.jpeg,cond1,absent,absent,4,dotted triangle,2,yes,no,yes,Imagine someone is talking to you and tells you 'dotted triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"1, 2",yes
exp2_120.jpeg,cond4,present,present,3,vertical gray-and-white stripes,1,no,no,yes,Imagine someone is talking to you and tells you 'vertical gray-and-white stripes' Which object are they telling you about? Please use refer to the object by the column number and the row number.,"2,1",yes
