image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer
exp2_093.jpeg,cond4,present,present,3,square,red,"wavy, zigzag","3,2",['The wavy pattern.']
exp2_094.jpeg,cond2,absent,present,4,star,green,dot,"1,3",['The green star with a dotted pattern.']
exp2_095.jpeg,cond1,absent,absent,2,"circle, circular",blue,dot,"1,3",['The circle with dots.']
exp2_096.jpeg,cond4,present,present,4,star,green,dot,"1,3",['The green star with gray dots.']
exp2_097.jpeg,cond3,present,absent,3,square,black,stripe,"3,2",['The striped rectangle.']
exp2_098.jpeg,cond1,absent,absent,2,square,blue,stripe,"1,2",['The striped rectangle.']
exp2_099.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","2,3",['The circle with the wavy pattern.']
exp2_100.jpeg,cond4,present,present,2,square,green,dot,"3,2",['The object highlighted by the dashed red box is the one with the gray dots.']
exp2_101.jpeg,cond4,present,present,2,"circle, circular",green,checker,"3,3",['The bottom-right circle with a checkerboard pattern.']
exp2_102.jpeg,cond1,absent,absent,4,square,black,checker,"3,1",['The square with a black border and checkerboard pattern.']
exp2_103.jpeg,cond3,present,absent,2,square,red,dot,"2,1",['The target is the square with a red border and gray dots.']
exp2_104.jpeg,cond2,absent,present,2,"circle, circular",green,stripe,"2,3",['The circle with vertical stripes.']
exp2_105.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"2,1",['The triangle with the dot pattern.']
exp2_106.jpeg,cond4,present,present,4,"triangle, triangular",green,dot,"2,1",['The target is the blue-bordered square with gray dots.']
exp2_107.jpeg,cond1,absent,absent,4,"triangle, triangular",red,"wavy, zigzag","3,3","['The triangle with wavy gray and white stripes, outlined in red, in the bottom-right corner.']"
exp2_108.jpeg,cond3,present,absent,4,square,red,"wavy, zigzag","1,3","['The target is the square with wavy gray and white stripes, highlighted by a dashed red box.']"
exp2_109.jpeg,cond3,present,absent,2,"triangle, triangular",red,dot,"3,3",['triangle']
exp2_110.jpeg,cond2,absent,present,2,"triangle, triangular",green,dot,"2,3",['The green triangle with a dotted pattern.']
exp2_111.jpeg,cond1,absent,absent,4,"triangle, triangular",green,"wavy, zigzag","3,1",['The green triangle with wavy gray interior.']
exp2_112.jpeg,cond2,absent,present,4,"circle, circular",black,"wavy, zigzag","3,2",['The circle with wavy lines.']
exp2_113.jpeg,cond3,present,absent,2,"circle, circular",red,"wavy, zigzag","3,2",['The circle with wavy lines.']
exp2_114.jpeg,cond1,absent,absent,2,square,red,"wavy, zigzag","1,2",['The wavy patterned square.']
exp2_115.jpeg,cond2,absent,present,4,"triangle, triangular",green,dot,"3,3",['The green triangle with a polka dot pattern.']
exp2_116.jpeg,cond3,present,absent,2,star,black,stripe,"3,3",['The star.']
exp2_117.jpeg,cond4,present,present,2,star,black,"wavy, zigzag","3,3",['The star with the zigzag pattern.']
exp2_118.jpeg,cond2,absent,present,3,star,black,dot,"3,1",['The star with a dotted pattern.']
exp2_119.jpeg,cond1,absent,absent,4,"triangle, triangular",red,dot,"1,2",['The triangle with a dotted pattern.']
exp2_120.jpeg,cond4,present,present,3,square,blue,stripe,"2,1",['The striped pattern.']
