image_file,condition,occlusion,distractor,non_target,speaker_answer,listener_question
exp2_069.jpeg,cond2,absent,present,2,The green-bordered square with gray dots.,Imagine someone is talking to you and tells you 'The green-bordered square with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_070.jpeg,cond1,absent,absent,4,The square with a checkerboard pattern.,Imagine someone is talking to you and tells you 'The square with a checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_071.jpeg,cond4,present,present,3,The checkered pattern in the dashed red box.,Imagine someone is talking to you and tells you 'The checkered pattern in the dashed red box.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_072.jpeg,cond3,present,absent,2,The star.,Imagine someone is talking to you and tells you 'The star.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_073.jpeg,cond4,present,present,2,The green star with vertical stripes.,Imagine someone is talking to you and tells you 'The green star with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_074.jpeg,cond2,absent,present,3,The wavy patterned square.,Imagine someone is talking to you and tells you 'The wavy patterned square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_075.jpeg,cond1,absent,absent,2,The star with a wavy pattern inside.,Imagine someone is talking to you and tells you 'The star with a wavy pattern inside.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_076.jpeg,cond1,absent,absent,2,The triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_077.jpeg,cond3,present,absent,3,The circle with vertical stripes.,Imagine someone is talking to you and tells you 'The circle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_078.jpeg,cond4,present,present,4,The target is the red triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The target is the red triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_079.jpeg,cond2,absent,present,4,the green circle with gray dots,Imagine someone is talking to you and tells you 'the green circle with gray dots' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_080.jpeg,cond3,present,absent,3,the triangle,Imagine someone is talking to you and tells you 'the triangle' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_081.jpeg,cond2,absent,present,4,The checkered triangle.,Imagine someone is talking to you and tells you 'The checkered triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_082.jpeg,cond3,present,absent,2,The green triangle with vertical stripes.,Imagine someone is talking to you and tells you 'The green triangle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_083.jpeg,cond1,absent,absent,3,The star with a dotted pattern.,Imagine someone is talking to you and tells you 'The star with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_084.jpeg,cond4,present,present,4,The circle with the black border.,Imagine someone is talking to you and tells you 'The circle with the black border.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_085.jpeg,cond3,present,absent,2,the green triangle with wavy pattern,Imagine someone is talking to you and tells you 'the green triangle with wavy pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_086.jpeg,cond4,present,present,3,The black star with gray dots.,Imagine someone is talking to you and tells you 'The black star with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_087.jpeg,cond2,absent,present,3,The star with a checkerboard pattern.,Imagine someone is talking to you and tells you 'The star with a checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_088.jpeg,cond1,absent,absent,4,the circle with a checkered pattern,Imagine someone is talking to you and tells you 'the circle with a checkered pattern' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_089.jpeg,cond3,present,absent,4,The target is the black-bordered grid of gray dots.,Imagine someone is talking to you and tells you 'The target is the black-bordered grid of gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_090.jpeg,cond3,present,absent,3,The green triangle with gray dots.,Imagine someone is talking to you and tells you 'The green triangle with gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_091.jpeg,cond1,absent,absent,3,The square with the wavy pattern.,Imagine someone is talking to you and tells you 'The square with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_092.jpeg,cond2,absent,present,3,The triangle with the dot pattern.,Imagine someone is talking to you and tells you 'The triangle with the dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_093.jpeg,cond4,present,present,3,The wavy pattern.,Imagine someone is talking to you and tells you 'The wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_094.jpeg,cond2,absent,present,4,The green star with a dotted pattern.,Imagine someone is talking to you and tells you 'The green star with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_095.jpeg,cond1,absent,absent,2,The circle with dots.,Imagine someone is talking to you and tells you 'The circle with dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_096.jpeg,cond4,present,present,4,the green star,Imagine someone is talking to you and tells you 'the green star' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_097.jpeg,cond3,present,absent,3,The striped rectangle.,Imagine someone is talking to you and tells you 'The striped rectangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_098.jpeg,cond1,absent,absent,2,The striped rectangle.,Imagine someone is talking to you and tells you 'The striped rectangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_099.jpeg,cond2,absent,present,3,The circle with the wavy pattern.,Imagine someone is talking to you and tells you 'The circle with the wavy pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_100.jpeg,cond4,present,present,2,The target is the dot pattern.,Imagine someone is talking to you and tells you 'The target is the dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_101.jpeg,cond4,present,present,2,bottom-right circle,Imagine someone is talking to you and tells you 'bottom-right circle' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_102.jpeg,cond1,absent,absent,4,The square with a black border and checkerboard pattern.,Imagine someone is talking to you and tells you 'The square with a black border and checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_103.jpeg,cond3,present,absent,2,The target is the square with a red border and gray dots.,Imagine someone is talking to you and tells you 'The target is the square with a red border and gray dots.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_104.jpeg,cond2,absent,present,2,The circle with vertical stripes.,Imagine someone is talking to you and tells you 'The circle with vertical stripes.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_105.jpeg,cond4,present,present,3,The triangle with the dot pattern.,Imagine someone is talking to you and tells you 'The triangle with the dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_106.jpeg,cond4,present,present,4,The target is the green triangle with a checkerboard pattern.,Imagine someone is talking to you and tells you 'The target is the green triangle with a checkerboard pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_107.jpeg,cond1,absent,absent,4,"The triangle with wavy gray and white stripes, outlined in red, in the bottom-right corner.","Imagine someone is talking to you and tells you 'The triangle with wavy gray and white stripes, outlined in red, in the bottom-right corner.' Which object are they telling you about? Please use refer to the object by the column number and the row number."
exp2_108.jpeg,cond3,present,absent,4,the square with wavy lines,Imagine someone is talking to you and tells you 'the square with wavy lines' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_109.jpeg,cond3,present,absent,2,The triangle.,Imagine someone is talking to you and tells you 'The triangle.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_110.jpeg,cond2,absent,present,2,The green triangle with a dotted pattern.,Imagine someone is talking to you and tells you 'The green triangle with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_111.jpeg,cond1,absent,absent,4,The green triangle with wavy gray interior.,Imagine someone is talking to you and tells you 'The green triangle with wavy gray interior.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_112.jpeg,cond2,absent,present,4,The circle with wavy lines.,Imagine someone is talking to you and tells you 'The circle with wavy lines.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_113.jpeg,cond3,present,absent,2,The circle with wavy lines.,Imagine someone is talking to you and tells you 'The circle with wavy lines.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_114.jpeg,cond1,absent,absent,2,The wavy patterned square.,Imagine someone is talking to you and tells you 'The wavy patterned square.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_115.jpeg,cond2,absent,present,4,The green triangle with a polka dot pattern.,Imagine someone is talking to you and tells you 'The green triangle with a polka dot pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_116.jpeg,cond3,present,absent,2,The star.,Imagine someone is talking to you and tells you 'The star.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_117.jpeg,cond4,present,present,2,The star with the zigzag pattern.,Imagine someone is talking to you and tells you 'The star with the zigzag pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_118.jpeg,cond2,absent,present,3,The star with a dotted pattern.,Imagine someone is talking to you and tells you 'The star with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_119.jpeg,cond1,absent,absent,4,The triangle with a dotted pattern.,Imagine someone is talking to you and tells you 'The triangle with a dotted pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
exp2_120.jpeg,cond4,present,present,3,The striped pattern.,Imagine someone is talking to you and tells you 'The striped pattern.' Which object are they telling you about? Please use refer to the object by the column number and the row number.
