image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location
exp2_107.jpeg,cond1,absent,absent,4,"triangle, triangular",red,"wavy, zigzag","3,3"
exp2_108.jpeg,cond3,present,absent,4,square,red,"wavy, zigzag","1,3"
exp2_109.jpeg,cond3,present,absent,2,"triangle, triangular",red,dot,"3,3"
exp2_110.jpeg,cond2,absent,present,2,"triangle, triangular",green,dot,"2,3"
exp2_111.jpeg,cond1,absent,absent,4,"triangle, triangular",green,"wavy, zigzag","3,1"
exp2_112.jpeg,cond2,absent,present,4,"circle, circular",black,"wavy, zigzag","3,2"
exp2_113.jpeg,cond3,present,absent,2,"circle, circular",red,"wavy, zigzag","3,2"
exp2_114.jpeg,cond1,absent,absent,2,square,red,"wavy, zigzag","1,2"
exp2_115.jpeg,cond2,absent,present,4,"triangle, triangular",green,dot,"3,3"
exp2_116.jpeg,cond3,present,absent,2,star,black,stripe,"3,3"
exp2_117.jpeg,cond4,present,present,2,star,black,"wavy, zigzag","3,3"
exp2_118.jpeg,cond2,absent,present,3,star,black,dot,"3,1"
exp2_119.jpeg,cond1,absent,absent,4,"triangle, triangular",red,dot,"1,2"
exp2_120.jpeg,cond4,present,present,3,square,blue,stripe,"2,1"
