image_file,condition,occlusion,distractor,non_target,speaker_answer,listener_question,listener_answer,listener_answer_correct,
exp2_013.jpeg,cond2,absent,present,2,Dots.,Imagine someone is talking to you and tells you 'Dots.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",yes,
exp2_014.jpeg,cond2,absent,present,4,Red.,Imagine someone is talking to you and tells you 'Red.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",yes,
exp2_015.jpeg,cond4,present,present,2,Green triangle.,Imagine someone is talking to you and tells you 'Green triangle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",no,ambiguous
exp2_016.jpeg,cond1,absent,absent,2,green,Imagine someone is talking to you and tells you 'green' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",yes,
exp2_017.jpeg,cond3,present,absent,4,star,Imagine someone is talking to you and tells you 'star' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",none,
exp2_018.jpeg,cond3,present,absent,3,Star,Imagine someone is talking to you and tells you 'Star' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_019.jpeg,cond4,present,present,3,Dotted triangle.,Imagine someone is talking to you and tells you 'Dotted triangle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2
1",yes,
exp2_020.jpeg,cond4,present,present,3,Dots.,Imagine someone is talking to you and tells you 'Dots.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_021.jpeg,cond1,absent,absent,3,Triangle,Imagine someone is talking to you and tells you 'Triangle' Which object are they telling you about? Please refer to the object by the column number and the row number.,1 and 2,yes,
exp2_022.jpeg,cond1,absent,absent,4,square,Imagine someone is talking to you and tells you 'square' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 1",yes,
exp2_023.jpeg,cond2,absent,present,4,Green circle.,Imagine someone is talking to you and tells you 'Green circle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",yes,
exp2_024.jpeg,cond2,absent,present,2,Stripes.,Imagine someone is talking to you and tells you 'Stripes.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"Column 1, Row 2",yes,
exp2_025.jpeg,cond3,present,absent,2,Star,Imagine someone is talking to you and tells you 'Star' Which object are they telling you about? Please refer to the object by the column number and the row number.,1 and 3,yes,
exp2_026.jpeg,cond4,present,present,2,Checkerboard.,Imagine someone is talking to you and tells you 'Checkerboard.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_027.jpeg,cond3,present,absent,2,Star,Imagine someone is talking to you and tells you 'Star' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_028.jpeg,cond2,absent,present,3,blue,Imagine someone is talking to you and tells you 'blue' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_029.jpeg,cond1,absent,absent,4,Circle,Imagine someone is talking to you and tells you 'Circle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_030.jpeg,cond2,absent,present,3,Wavy.,Imagine someone is talking to you and tells you 'Wavy.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"Column: 3, Row: 2",yes,
exp2_031.jpeg,cond3,present,absent,3,Circle,Imagine someone is talking to you and tells you 'Circle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"Column: 2, Row: 1",yes,
exp2_032.jpeg,cond3,present,absent,4,Triangle.,Imagine someone is talking to you and tells you 'Triangle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_033.jpeg,cond1,absent,absent,3,Star,Imagine someone is talking to you and tells you 'Star' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_034.jpeg,cond4,present,present,4,Borderless.,Imagine someone is talking to you and tells you 'Borderless.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 1",yes,
exp2_035.jpeg,cond4,present,present,3,Black star.,Imagine someone is talking to you and tells you 'Black star.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",yes,
exp2_036.jpeg,cond2,absent,present,4,Dotted.,Imagine someone is talking to you and tells you 'Dotted.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
exp2_037.jpeg,cond3,present,absent,3,Triangle,Imagine someone is talking to you and tells you 'Triangle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1
1",yes,
exp2_038.jpeg,cond3,present,absent,2,Circle,Imagine someone is talking to you and tells you 'Circle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",none,
exp2_039.jpeg,cond4,present,present,4,blue wavy,Imagine someone is talking to you and tells you 'blue wavy' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",none,
exp2_040.jpeg,cond1,absent,absent,4,Square,Imagine someone is talking to you and tells you 'Square' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_041.jpeg,cond4,present,present,2,Red border.,Imagine someone is talking to you and tells you 'Red border.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 1",yes,
exp2_042.jpeg,cond1,absent,absent,3,Circle.,Imagine someone is talking to you and tells you 'Circle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_043.jpeg,cond2,absent,present,4,wavy,Imagine someone is talking to you and tells you 'wavy' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_044.jpeg,cond3,present,absent,3,square,Imagine someone is talking to you and tells you 'square' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_045.jpeg,cond1,absent,absent,2,Triangle,Imagine someone is talking to you and tells you 'Triangle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
exp2_046.jpeg,cond2,absent,present,4,Red star,Imagine someone is talking to you and tells you 'Red star' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
exp2_047.jpeg,cond4,present,present,3,Striped square,Imagine someone is talking to you and tells you 'Striped square' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 3",yes,
exp2_048.jpeg,cond2,absent,present,3,Red square,Imagine someone is talking to you and tells you 'Red square' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_049.jpeg,cond4,present,present,3,Green square.,Imagine someone is talking to you and tells you 'Green square.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_050.jpeg,cond3,present,absent,3,Star,Imagine someone is talking to you and tells you 'Star' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",yes,
exp2_051.jpeg,cond1,absent,absent,3,Wavy.,Imagine someone is talking to you and tells you 'Wavy.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 3",yes,
exp2_052.jpeg,cond3,present,absent,3,Triangle.,Imagine someone is talking to you and tells you 'Triangle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"Column 2, Row 1",yes,
exp2_053.jpeg,cond1,absent,absent,3,Red,Imagine someone is talking to you and tells you 'Red' Which object are they telling you about? Please refer to the object by the column number and the row number.,"1, 1",yes,
exp2_054.jpeg,cond2,absent,present,4,Checkerboard,Imagine someone is talking to you and tells you 'Checkerboard' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
exp2_055.jpeg,cond1,absent,absent,2,Triangle,Imagine someone is talking to you and tells you 'Triangle' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_056.jpeg,cond2,absent,present,3,Blue,Imagine someone is talking to you and tells you 'Blue' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 2",yes,
exp2_057.jpeg,cond4,present,present,3,Wavy triangle.,Imagine someone is talking to you and tells you 'Wavy triangle.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"Column 3, Row 1",yes,
exp2_058.jpeg,cond3,present,absent,2,Green.,Imagine someone is talking to you and tells you 'Green.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"3, 3",yes,
exp2_059.jpeg,cond3,present,absent,3,Star.,Imagine someone is talking to you and tells you 'Star.' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
exp2_060.jpeg,cond1,absent,absent,2,wavy,Imagine someone is talking to you and tells you 'wavy' Which object are they telling you about? Please refer to the object by the column number and the row number.,"2, 1",yes,
